username,degree
BarackObama,0.00378049265788531
realDonaldTrump,0.00358151936010187
POTUS,0.00234788491384456
elonmusk,0.00210911695650444
rihanna,0.00210911695650444
kanyewest,0.00206932229694775
TheEllenShow,0.00187034899916431
chrissyteigen,0.00179075968005094
VancityReynolds,0.00179075968005094
neiltyson,0.00179075968005094
CNN,0.00179075968005094
POTUS44,0.00175096502049425
BernieSanders,0.00175096502049425
HillaryClinton,0.00175096502049425
cnnbrk,0.00163158104182419
MichelleObama,0.00163158104182419
JColeNC,0.00163158104182419
Drake,0.00163158104182419
SenSanders,0.00163158104182419
NASA,0.00163158104182419
jaketapper,0.00155199172271081
Emma4Change,0.00155199172271081
HamillHimself,0.00151219706315412
BBCBreaking,0.00147240240359744
nytimes,0.00147240240359744
SethMacFarlane,0.00147240240359744
StephenAtHome,0.00147240240359744
jimmyfallon,0.00147240240359744
SportsCenter,0.00143260774404075
FLOTUS,0.00143260774404075